ts_code,name,industry,pe_ttm,pe_pct,rev_avg,profit_avg,deducted_avg,peg
688018.SH,乐鑫科技,半导体,42.1708,3.2,26.868366666666663,78.59809999999999,97.98,0.54
688049.SH,炬芯科技,半导体,33.7375,0.7,30.749166666666667,58.93713333333333,87.51333333333332,0.57
688076.SH,ST诺泰,生物制药,27.2392,19.8,45.156533333333336,52.19820000000001,78.23333333333333,0.52
688088.SH,虹软科技,软件服务,50.9502,1.2,20.305466666666668,66.31916666666666,355.1033333333333,0.77
688091.SH,上海谊众,化学制药,109.5083,49.7,27.663300000000003,247.63346666666666,479.6666666666667,0.44
688093.SH,世华科技,化工原料,18.3856,3.6,34.25253333333333,30.520433333333333,34.89666666666667,0.6
688108.SH,赛诺医疗,医疗保健,95.5252,1.7,42.05466666666667,1078.8131333333333,142.83653333333334,0.09
688117.SH,圣诺生物,生物制药,28.3188,0.7,25.781966666666666,65.29836666666667,81.14999999999999,0.43
688127.SH,蓝特光学,元器件,50.8984,45.7,61.31716666666667,62.05403333333334,160.05666666666664,0.82
688155.SH,先惠技术,电气设备,16.3584,0.8,19.8864,219.2506,263.41433333333333,0.07
688183.SH,生益电子,元器件,46.0809,38.4,46.119400000000006,554.6662666666667,360.5798333333334,0.08
688208.SH,道通科技,IT设备,21.1126,3.2,29.1178,126.42456666666668,123.53000000000002,0.17
688209.SH,英集芯,半导体,44.3665,3.4,23.447100000000002,95.068,188.58333333333334,0.47
688213.SH,思特威,半导体,35.3778,4.2,58.423766666666666,978.2925333333333,21531.597899999997,0.04
688252.SH,天德钰,半导体,33.6441,25.6,26.30883333333333,38.501266666666666,37.973333333333336,0.87
688256.SH,寒武纪,半导体,255.7593,14.1,323.99019999999996,385.7221333333334,208.77203333333333,0.66
688278.SH,特宝生物,生物制药,23.4982,4.2,34.28823333333333,55.70836666666667,48.25,0.42
688313.SH,仕佳光子,通信设备,102.9752,32.6,41.3614,178.61606666666668,190.76666666666668,0.58
688332.SH,中科蓝讯,半导体,10.62,2.5,20.314333333333334,156.5108,30.323333333333338,0.07
688336.SH,三生国健,生物制药,12.2933,2.2,97.45233333333333,316.09156666666667,28716.403333333335,0.04
688351.SH,微电生理,医疗保健,149.5731,8.1,21.46526666666667,299.54386666666664,89.1186,0.5
688380.SH,中微半导,半导体,46.9117,18.9,20.9686,231.37653333333333,35.48366666666667,0.2
688386.SH,泛亚微透,化工原料,49.0814,35.1,26.145366666666664,66.71863333333333,77.55333333333333,0.74
688428.SH,诺诚健华,生物制药,64.0962,41.4,102.40589999999999,173.93639999999996,160.35886666666667,0.37
688510.SH,航亚科技,航空,59.1919,43.4,26.123100000000004,123.47989999999999,152.52666666666667,0.48
688578.SH,艾力斯,化学制药,20.7235,13.7,92.41090000000001,189.53623333333334,278.9166666666667,0.11
688608.SH,恒玄科技,半导体,59.5773,28.3,34.843333333333334,100.81856666666668,482.16666666666674,0.59
688612.SH,威迈斯,汽车配件,21.2662,18.2,19.665499999999998,29.880499999999998,33.156666666666666,0.71
688789.SH,宏华数科,专用机械,18.1344,0.9,37.184866666666665,29.573700000000002,26.96666666666667,0.61
920982.BJ,锦波生物,医疗保健,24.523,3.4,65.15136666666668,102.64,106.46666666666668,0.24
689009.SH,九号公司,摩托车,21.6154,12.7,29.9093,58.65676666666667,76.42,0.37
